date,open,high,low,close,volume,padding
1999-01-04,3.75,3.75,3.75,3.75,3200.0,1
1999-01-05,3.75,3.75,3.75,3.75,3200.0,1
1999-01-06,3.75,3.75,3.75,3.75,3200.0,1
1999-01-07,3.75,3.75,3.75,3.75,3200.0,1
1999-01-08,3.75,3.75,3.75,3.75,3200.0,1
1999-01-11,3.75,3.75,3.75,3.75,3200.0,1
1999-01-12,3.75,3.75,3.75,3.75,3200.0,1
1999-01-13,3.75,3.75,3.75,3.75,3200.0,1
1999-01-14,3.75,3.75,3.75,3.75,3200.0,1
1999-01-15,3.75,3.75,3.75,3.75,3200.0,1
1999-01-19,3.75,3.75,3.75,3.75,3200.0,1
1999-01-20,3.75,3.75,3.75,3.75,3200.0,1
1999-01-21,3.75,3.75,3.75,3.75,3200.0,1
1999-01-22,3.75,3.75,3.75,3.75,3200.0,1
1999-01-25,3.75,3.75,3.75,3.75,3200.0,1
1999-01-26,3.75,3.75,3.75,3.75,3200.0,1
1999-01-27,3.75,3.75,3.75,3.75,3200.0,1
1999-01-28,3.75,3.75,3.75,3.75,3200.0,1
1999-01-29,3.75,3.75,3.75,3.75,3200.0,1
1999-02-01,3.75,3.75,3.75,3.75,3200.0,1
1999-02-02,3.75,3.75,3.75,3.75,3200.0,1
1999-02-03,3.75,3.75,3.75,3.75,3200.0,1
1999-02-04,3.75,3.75,3.75,3.75,3200.0,1
1999-02-05,3.75,3.75,3.75,3.75,3200.0,1
1999-02-08,3.75,3.75,3.75,3.75,3200.0,1
1999-02-09,3.75,3.75,3.75,3.75,3200.0,1
1999-02-10,3.75,3.75,3.75,3.75,3200.0,1
1999-02-11,3.75,3.75,3.75,3.75,3200.0,1
1999-02-12,3.75,3.75,3.75,3.75,3200.0,1
1999-02-16,3.75,3.75,3.75,3.75,3200.0,1
1999-02-17,3.75,3.75,3.75,3.75,3200.0,1
1999-02-18,3.75,3.75,3.75,3.75,3200.0,1
1999-02-19,3.75,3.75,3.75,3.75,3200.0,1
1999-02-22,3.75,3.75,3.75,3.75,3200.0,1
1999-02-23,3.75,3.75,3.75,3.75,3200.0,1
1999-02-24,3.75,3.75,3.75,3.75,3200.0,1
1999-02-25,3.75,3.75,3.75,3.75,3200.0,1
1999-02-26,3.75,3.75,3.75,3.75,3200.0,1
1999-03-01,3.75,3.75,3.75,3.75,3200.0,1
1999-03-02,3.75,3.75,3.75,3.75,3200.0,1
1999-03-03,3.75,3.75,3.75,3.75,3200.0,1
